Sign1,Sign2,Compatibility_rate,Sign1_Modality,Sign1_Element,Sign2_Modality,Sign2_Element,same_element,fire_air_pair,earth_water_pair,opposing_elements,fixed_fixed_pair,mutable_mutable_pair,cardinal_fixed_pair,cardinal_mutable_pair,fixed_mutable_pair,Sign1_Trait1,Sign1_Trait2,Sign1_Trait3,Sign1_Trait4,Sign1_Trait5,Sign1_Trait6,Sign1_Trait7,Sign1_Trait8,Sign2_Trait1,Sign2_Trait2,Sign2_Trait3,Sign2_Trait4,Sign2_Trait5,Sign2_Trait6,Sign2_Trait7,Sign2_Trait8
Aquarius,Sagittarius,0.9,Fixed,Air,Mutable,Fire,0,1,0,0,0,0,0,0,1,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Libra,Sagittarius,0.73,Cardinal,Air,Mutable,Fire,0,1,0,0,0,0,0,1,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Sagittarius,Gemini,0.6,Mutable,Fire,Mutable,Air,0,1,0,0,0,1,0,0,0,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Capricorn,Aquarius,0.69,Cardinal,Earth,Fixed,Air,0,0,0,1,0,0,1,0,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Libra,Leo,0.97,Cardinal,Air,Fixed,Fire,0,1,0,0,0,0,1,0,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Capricorn,Virgo,0.95,Cardinal,Earth,Mutable,Earth,1,0,0,0,0,0,0,1,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Pisces,Gemini,0.53,Mutable,Water,Mutable,Air,0,0,0,0,0,1,0,0,0,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Pisces,Aquarius,0.45,Mutable,Water,Fixed,Air,0,0,0,0,0,0,0,0,1,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Pisces,Leo,0.38,Mutable,Water,Fixed,Fire,0,0,0,1,0,0,0,0,1,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Sagittarius,Leo,0.93,Mutable,Fire,Fixed,Fire,1,0,0,0,0,0,0,0,1,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Aries,Cancer,0.42,Cardinal,Fire,Cardinal,Water,0,0,0,1,0,0,0,0,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Capricorn,Taurus,0.98,Cardinal,Earth,Fixed,Earth,1,0,0,0,0,0,1,0,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
Gemini,Pisces,0.53,Mutable,Air,Mutable,Water,0,0,0,0,0,1,0,0,0,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Leo,Aries,0.97,Fixed,Fire,Cardinal,Fire,1,0,0,0,0,0,1,0,0,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Leo,Aquarius,0.69,Fixed,Fire,Fixed,Air,0,1,0,0,1,0,0,0,0,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Scorpio,Gemini,0.28,Fixed,Water,Mutable,Air,0,0,0,0,0,0,0,0,1,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Cancer,Taurus,0.97,Cardinal,Water,Fixed,Earth,0,0,1,0,0,0,1,0,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
Sagittarius,Pisces,0.63,Mutable,Fire,Mutable,Water,0,0,0,1,0,1,0,0,0,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Aries,Pisces,0.67,Cardinal,Fire,Mutable,Water,0,0,0,1,0,0,0,1,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Aquarius,Pisces,0.45,Fixed,Air,Mutable,Water,0,0,0,0,0,0,0,0,1,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Aries,Scorpio,0.5,Cardinal,Fire,Fixed,Water,0,0,0,1,0,0,1,0,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Taurus,Aquarius,0.58,Fixed,Earth,Fixed,Air,0,0,0,1,1,0,0,0,0,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Aries,Aries,0.5,Cardinal,Fire,Cardinal,Fire,1,0,0,0,0,0,0,0,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Scorpio,Cancer,0.94,Fixed,Water,Cardinal,Water,1,0,0,0,0,0,1,0,0,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Aquarius,Libra,0.9,Fixed,Air,Cardinal,Air,1,0,0,0,0,0,1,0,0,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Gemini,Sagittarius,0.6,Mutable,Air,Mutable,Fire,0,1,0,0,0,1,0,0,0,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Gemini,Cancer,0.65,Mutable,Air,Cardinal,Water,0,0,0,0,0,0,0,1,0,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Cancer,Gemini,0.65,Cardinal,Water,Mutable,Air,0,0,0,0,0,0,0,1,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Cancer,Capricorn,0.83,Cardinal,Water,Cardinal,Earth,0,0,1,0,0,0,0,0,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Libra,Capricorn,0.55,Cardinal,Air,Cardinal,Earth,0,0,0,1,0,0,0,0,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Leo,Capricorn,0.35,Fixed,Fire,Cardinal,Earth,0,0,0,0,0,0,1,0,0,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Virgo,Capricorn,0.95,Mutable,Earth,Cardinal,Earth,1,0,0,0,0,0,0,1,0,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Capricorn,Libra,0.55,Cardinal,Earth,Cardinal,Air,0,0,0,1,0,0,0,0,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
